detected_X_V (unit),detected_Y_V (unit),detected_Z_V (unit),detected_X_P (unit),detected_Y_P (unit),detected_Z_P (unit),detected_XF (unit),detected_YF (unit),detected_ZF (unit),X_position (unit),Y_position (unit),Z_position (unit)
-4.00E-03,-2.30E-01,-3.50E-02,-7.50E-01,-5.50E-02,-1.35E-01,-1.97E-01,-2.22E-01,-9.07E-02,4.00E-01,2.00E-01,3.50E-02
4.46E-01,-1.75E-01,-4.45E-02,1.78E-01,-2.00E-01,3.90E-01,3.76E-01,-1.76E-01,1.98E-01,4.00E-01,2.00E-01,4.45E-02
4.46E-01,-1.75E-01,-4.49E-02,2.23E-01,-2.00E-01,3.87E-01,3.88E-01,-1.76E-01,1.96E-01,4.00E-01,2.00E-01,4.49E-02
4.46E-01,-1.75E-01,-4.50E-02,2.24E-01,-2.00E-01,3.86E-01,3.88E-01,-1.76E-01,1.95E-01,4.00E-01,2.00E-01,4.50E-02
3.22E-02,1.24E-02,5.83E-02,2.25E-01,-2.00E-01,3.85E-01,8.21E-02,2.48E-03,2.40E-01,4.00E-01,2.00E-01,4.50E-02
3.21E-02,1.24E-02,5.83E-02,2.26E-01,-2.00E-01,3.83E-01,8.23E-02,2.48E-03,2.39E-01,4.00E-01,2.00E-01,4.50E-02
3.20E-02,1.24E-02,5.83E-02,2.28E-01,-2.00E-01,3.82E-01,8.26E-02,2.48E-03,2.39E-01,4.00E-01,2.00E-01,4.50E-02
3.19E-02,1.24E-02,5.83E-02,2.29E-01,-2.00E-01,3.80E-01,8.29E-02,2.48E-03,2.38E-01,4.00E-01,2.00E-01,4.50E-02
3.19E-02,1.24E-02,5.84E-02,2.30E-01,-2.00E-01,3.79E-01,8.31E-02,2.48E-03,2.37E-01,4.00E-01,2.00E-01,4.50E-02
3.18E-02,1.24E-02,5.84E-02,4.50E-02,-4.50E-02,4.50E-02,3.52E-02,9.70E-03,5.09E-02,4.00E-01,2.00E-01,4.50E-02
3.18E-02,1.24E-02,5.84E-02,4.50E-02,-4.50E-02,4.50E-02,3.52E-02,9.70E-03,5.09E-02,4.00E-01,2.00E-01,4.50E-02
3.17E-02,1.24E-02,5.84E-02,4.50E-02,-4.50E-02,4.50E-02,3.51E-02,9.70E-03,5.09E-02,4.00E-01,2.00E-01,4.50E-02
3.16E-02,1.24E-02,5.84E-02,4.50E-02,-4.50E-02,4.50E-02,3.51E-02,9.70E-03,5.10E-02,4.00E-01,2.00E-01,4.50E-02
3.16E-02,1.24E-02,5.85E-02,4.50E-02,-4.50E-02,4.50E-02,3.50E-02,9.70E-03,5.10E-02,4.00E-01,2.00E-01,4.50E-02
3.39E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.68E-02,9.71E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.38E-02,1.24E-02,5.92E-02,4.50E-02,-4.50E-02,4.50E-02,3.67E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.37E-02,1.24E-02,5.92E-02,4.50E-02,-4.50E-02,4.50E-02,3.67E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.37E-02,1.24E-02,5.92E-02,4.50E-02,-4.50E-02,4.50E-02,3.66E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.36E-02,1.24E-02,5.92E-02,4.50E-02,-4.50E-02,4.50E-02,3.66E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.35E-02,1.24E-02,5.93E-02,4.50E-02,-4.50E-02,4.50E-02,3.65E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.35E-02,1.24E-02,5.93E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.34E-02,1.24E-02,5.93E-02,4.50E-02,-4.50E-02,4.50E-02,3.64E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.33E-02,1.24E-02,5.93E-02,4.50E-02,-4.50E-02,4.50E-02,3.63E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.44E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.71E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.43E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.71E-02,9.70E-03,5.13E-02,4.00E-01,2.00E-01,4.50E-02
3.47E-02,1.24E-02,5.91E-02,4.50E-02,-4.50E-02,4.50E-02,3.73E-02,9.70E-03,5.12E-02,4.00E-01,2.00E-01,4.50E-02
3.53E-02,1.24E-02,5.88E-02,4.50E-02,-4.50E-02,4.50E-02,3.78E-02,9.70E-03,5.11E-02,4.00E-01,2.00E-01,4.50E-02
3.56E-02,1.24E-02,5.87E-02,4.50E-02,-4.50E-02,4.50E-02,3.80E-02,9.70E-03,5.11E-02,4.00E-01,2.00E-01,4.50E-02
3.57E-02,1.24E-02,5.87E-02,4.50E-02,-4.50E-02,4.50E-02,3.81E-02,9.70E-03,5.11E-02,4.00E-01,2.00E-01,4.50E-02
3.58E-02,1.24E-02,5.87E-02,4.50E-02,-4.50E-02,4.50E-02,3.81E-02,9.70E-03,5.11E-02,4.00E-01,2.00E-01,4.50E-02
