X_differece_V (unit),Y_differece_V (unit),Z_differece_V (unit),X_differece_P (unit),Y_differece_P (unit),Z_differece_P (unit),,,,,,,,,,,,
-0.625,0.1018,0.95,-0.625,-0.05,0.95,0.390625,0.01036324,0.9025,0.390625,0.0025,0.9025,0.210076234,0.002468361,0.294974447,0.252172453,0.001734221,0.303202021
-0.402,0.009271,0.5641,-0.625,-0.05,0.95,0.161604,8.60E-05,0.31820881,0.390625,0.0025,0.9025,0.45834074,0.049682603,0.543115501,0.502167754,0.041643983,0.550637831
-0.402,0.009271,0.5641,-0.518,0.03205,0.55,0.161604,8.60E-05,0.31820881,0.268324,0.001027203,0.3025,,,,,,
-0.402,-0.01573,0.5641,-0.518,0.007053,0.55,0.161604,0.000247433,0.31820881,0.268324,4.97E-05,0.3025,,,,,,
-0.402,-0.04073,0.5641,-0.4775,0.008077,0.55,0.161604,0.001658933,0.31820881,0.22800625,6.52E-05,0.3025,,,,,,
-0.402,-0.06573,0.5641,-0.5009,0.025,0.5228,0.161604,0.004320433,0.31820881,0.25090081,0.000625,0.27331984,,,,,,
-0.4223,0.002397,0.5641,-0.5009,0.025,0.5228,0.17833729,5.75E-06,0.31820881,0.25090081,0.000625,0.27331984,,,,,,
-0.4223,-0.0226,0.5641,-0.5009,7.45E-10,0.5228,0.17833729,0.00051076,0.31820881,0.25090081,5.55E-19,0.27331984,,,,,,
-0.4223,-0.0476,0.5641,-0.5009,-0.025,0.5228,0.17833729,0.00226576,0.31820881,0.25090081,0.000625,0.27331984,,,,,,
-0.3973,-0.0476,0.5641,-0.4759,-0.025,0.5228,0.15784729,0.00226576,0.31820881,0.22648081,0.000625,0.27331984,,,,,,
-0.501,-0.02523,0.5211,-0.4759,-0.025,0.5228,0.251001,0.000636553,0.27154521,0.22648081,0.000625,0.27331984,,,,,,
-0.476,-0.02523,0.5211,-0.4509,-0.025,0.5228,0.226576,0.000636553,0.27154521,0.20331081,0.000625,0.27331984,,,,,,
-0.476,-0.05023,0.5211,-0.4509,-0.05,0.5228,0.226576,0.002523053,0.27154521,0.20331081,0.0025,0.27331984,,,,,,
-0.5166,0.00264,0.5211,-0.4259,-0.05,0.5228,0.26687556,6.97E-06,0.27154521,0.18139081,0.0025,0.27331984,,,,,,
-0.4916,0.00264,0.5211,-0.4009,-0.05,0.5228,0.24167056,6.97E-06,0.27154521,0.16072081,0.0025,0.27331984,,,,,,
-0.4916,-0.02236,0.5211,-0.4009,-0.075,0.5228,0.24167056,0.00049997,0.27154521,0.16072081,0.005625,0.27331984,,,,,,
-0.4666,-0.02236,0.5211,-0.3759,-0.075,0.5228,0.21771556,0.00049997,0.27154521,0.14130081,0.005625,0.27331984,,,,,,
-0.4666,-0.02236,0.5211,-0.5063,0.03745,0.55,0.21771556,0.00049997,0.27154521,0.25633969,0.001402503,0.3025,,,,,,
-0.4416,-0.02236,0.5211,-0.4813,0.03745,0.55,0.19501056,0.00049997,0.27154521,0.23164969,0.001402503,0.3025,,,,,,
-0.4416,0.00264,0.5211,-0.4813,0.06245,0.55,0.19501056,6.97E-06,0.27154521,0.23164969,0.003900003,0.3025,,,,,,
-0.4416,0.00264,0.5211,-0.5493,-0.01224,0.55,0.19501056,6.97E-06,0.27154521,0.30173049,0.000149818,0.3025,,,,,,
-0.4166,0.00264,0.5211,-0.5243,-0.01224,0.55,0.17355556,6.97E-06,0.27154521,0.27489049,0.000149818,0.3025,,,,,,
-0.3916,0.00264,0.5211,-0.4993,-0.01224,0.55,0.15335056,6.97E-06,0.27154521,0.24930049,0.000149818,0.3025,,,,,,
-0.3916,0.02764,0.5211,-0.4611,-0.01293,0.55,0.15335056,0.00076397,0.27154521,0.21261321,0.000167185,0.3025,,,,,,
-0.4536,0.001203,0.538,-0.4611,-0.01293,0.55,0.20575296,1.45E-06,0.289444,0.21261321,0.000167185,0.3025,,,,,,
-0.4536,0.0262,0.538,-0.4611,0.01207,0.55,0.20575296,0.00068644,0.289444,0.21261321,0.000145685,0.3025,,,,,,
-0.4286,-0.0002336,0.538,-0.4361,0.01207,0.55,0.18369796,5.46E-08,0.289444,0.19018321,0.000145685,0.3025,,,,,,
